主订单编号,选购商品,收件人,收件人手机号,省,市,区,街道,详细地址,快递信息
"	4837551803000936165",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,中通速递-75501722649867
"	4837551798720373902",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501728676500
"	4837551798701085779",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,中通速递-75501729056475
"	4837551777245107245",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501728676405
"	4837551777225790747",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728676490
"	4837551785825029974",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,中通速递-75501728699507
"	4837551833065422475",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501729056595
"	4837551755780334738",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,中通速递-75501729055599
"	4837551768641330686",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,中通速递-75501722649854
"	4837551777234704263",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501729055609
"	4837551777273107941",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501722649721
"	4837551730028684430",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501728676500
"	4837551725684893457",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,中通速递-75501728676487
"	4837551717112108411",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,中通速递-75501728676433
